X,Y,OBJECTID,FIRE_INVESTIGATION_ID,FIRE_INCIDENT_NUMBER,ADDRESS,FIRE_INCIDENT_DATE,INVESTIGATION_DATE,CASE_TYPE,OBJECT_BURNED,DETERMINATION,HAS_INJURIES,HAS_FATALITIES,HAS_EXPOSURES,STATUS_LAST_UPDATED_DATE,COUNCIL_DISTRICT,NEIGHBORHOOD,CITY,ZIP_CODE,STREET_NUMBER,STREET_PREFIX,STREET_NAME,STREET_TYPE,PARCEL_ID,ADDRESS_ID,LONGITUDE,LATITUDE
-82.9439501919826,42.426233260553,5777,224a8e59-07c5-4316-88e9-edc20232374d,19-0029359,11608 Beaconsfield Street,2019/08/17,2019/08/16,Investigation,Vacant Dwelling,Assessment,,,False,2019/08/17,,,Detroit,48224,,,,,21065924-5,,-82.9439501919826,42.426233260553
-83.0030323447659,42.3805514839125,5778,17966ccf-3959-4f06-b0b0-53757f4d8d8f,19-0029344,5045 Holcomb Street,2019/08/17,2019/08/17,Investigation,Vehicle,Incendiary,,,False,2019/08/17,,,Detroit,48213,,,,,19008640.,,-83.0030323447659,42.3805514839125
-83.2512994094778,42.3896577712971,5779,5cb42588-84f3-4d6e-80b3-5c86821d851f,19-0029235,14186 Bentler Street,2019/08/16,2019/08/16,Investigation,Occupied Dwelling,Incendiary,,,False,2019/08/16,,,Detroit,48223,,,,,22110468-9,,-83.2512994094778,42.3896577712971
-83.1313350792,42.2940607420075,5780,0f924caa-2c36-4fc3-a857-b5c2b4c13cca,19-0029282,9470 Stone Street,2019/08/16,,Investigation,Vehicle,,,,False,2019/08/17,,,Detroit,48209,,,,,20001495.,,-83.1313350792,42.2940607420075
-83.0962791391719,42.4204733123446,5781,3798b24d-061e-489e-a517-a1f290390272,19-0029317,17400 Omira Street,2019/08/16,2019/08/17,Investigation,Occupied Dwelling,Undetermined,,,False,2019/08/17,,,Highland Park,48203,,,,,01008638-9,,-83.0962791391719,42.4204733123446
-82.9999691659857,42.4469572377245,5782,e0dc6d6e-8e75-4709-ac06-950a7a257674,19-0029228,20304 Dresden Street,2019/08/16,2019/08/16,Investigation,Occupied Dwelling,Incendiary,,,False,2019/08/16,,,Detroit,48205,,,,,21034789.,,-82.9999691659857,42.4469572377245
-83.2572592464519,42.4038005234907,5783,07c1d4c0-ca53-4adb-a2e5-88694e705e6f,19-0029268,15515 Lahser Road,2019/08/16,2019/08/27,Investigation,Vacant Dwelling,Undetermined,,,False,2019/08/16,,,Detroit,48223,,,,,22113805.,,-83.2572592464519,42.4038005234907
-82.9828827292092,42.3828767370507,5784,89f1a4e3-9eeb-46b3-879f-816dafae1d1b,19-0029251,4419 Beniteau Street,2019/08/16,2019/08/17,Investigation,Vacant Dwelling,Incendiary,,,False,2019/08/16,,,Detroit,48214,,,,,21043390.,,-82.9828827292092,42.3828767370507
-83.1182861352317,42.2936609393815,5785,a2ff2d78-7a9d-4524-a328-bf0f9376db3f,19-0029294,8346 Vanderbilt Street,2019/08/16,2019/09/01,Investigation,Occupied Dwelling,Undetermined,,,False,2019/08/17,,,Detroit,48209,,,,,20000911.,,-83.1182861352317,42.2936609393815
,,5786,e2e3c8ef-9418-43db-8bcd-0dc3b0f5b29f,19-0029222,W Seven Mile Rd & Stansbury Ave,2019/08/16,,Investigation,Vehicle,,,,False,2019/08/16,,,Detroit,48235,,,,,,,,
-83.0211578725044,42.3934895633223,5787,5f0d67c6-c0e5-4b2f-aa30-1a8fc5acf1f7,19-0029267,8075 Georgia Street,2019/08/16,2019/08/17,Investigation,Vacant Dwelling,Undetermined,,,False,2019/08/16,,,Detroit,48213,,,,,17001424.,,-83.0211578725044,42.3934895633223
-83.1929012398455,42.4341014280707,5788,3f169ed4-2047-463a-bace-1d03323de382,19-0029215,19379 Lauder Street,2019/08/16,2019/08/28,Investigation,Occupied Dwelling,Assessment,,,False,2019/08/16,,,Detroit,48235,,,,,22042214.,,-83.1929012398455,42.4341014280707
,,5789,7867b728-2357-4683-a9e2-67355e879e67,19-0029216,8200 Outer Drive East,2019/08/16,2019/08/16,Investigation,Vehicle,Incendiary,,,False,2019/08/16,,,Detroit,48213,,,,,,,,
-83.2136021073431,42.3476194338491,5790,5198dc43-8b9a-4152-a84e-3efe43c3e9dc,19-0029296,7524 Longacre Street,2019/08/16,2019/08/21,Investigation,Occupied Dwelling,Assessment,,,False,2019/08/17,,,Detroit,48228,,,,,22070255.,,-83.2136021073431,42.3476194338491
,,5791,c4eeb50c-a04d-4033-96af-f021db6837ca,19-0029123,Harbaugh St & W Fisher Service Dr,2019/08/15,2019/08/27,Investigation,Vehicle,Incendiary,,,False,2019/08/15,,,Detroit,48209,,,,,,,,
,,5792,449af265-a0f2-496e-80ba-a2d24b2b929a,19-0029211,,2019/08/15,2019/09/06,Investigation,Vehicle,Incendiary,,,False,2019/08/16,,,Detroit,48205,,,,,,,,
-83.2410259621226,42.3562076377929,5793,b020df0d-c0a7-42c9-80bb-0cb997c5fc8e,19-0029145,8635 Fielding Street,2019/08/15,2019/08/16,Investigation,Other/Non-Structure,Undetermined,,,False,2019/08/16,,,Detroit,48228,,,,,22103413.,,-83.2410259621226,42.3562076377929
-83.0202599941399,42.3563545946157,5794,8083aa9a-38c7-4e90-919d-f5878f09bfa3,19-0029119,3654 Charlevoix Street,2019/08/15,2019/08/17,Investigation,Occupied Dwelling,Assessment,,,False,2019/08/15,,,Detroit,48207,,,,,13001010.,,-83.0202599941399,42.3563545946157
-83.1139610021148,42.3641512041658,5795,3e4b9c0c-67b1-47a5-b316-847f679149d6,19-0029120,8417 Dexter Avenue,2019/08/15,,Investigation,Vehicle,,,,False,2019/08/15,,,Detroit,48206,,,,,14006350.,,-83.1139610021148,42.3641512041658
-83.1904297402868,42.3964549533244,5796,f2b47210-fadb-40de-89e0-6823572209cb,19-0029151,14636 Lauder Street,2019/08/15,2019/08/22,Investigation,Occupied Dwelling,Incendiary,,,False,2019/08/16,,,Detroit,48227,,,,,22041887.,,-83.1904297402868,42.3964549533244
